id_str,text
"530696791764004864","@ShawnMendes
🙌🙆 GO DOWNLOAD ''SOMETHING BIG'' ON ITUNES! ✌
#SomethingBigToNumber1
#SomethingBigOnElvis
http://t.co/Vr9dfJXL12 
🌸🍀🌸🍀🌸🍀
371"
"530696791763611648","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530696791482974208","WE CAN DO IT GUYYYSS !! BUY SOMETHING BIG ON ITUNES !! 💜

http://t.co/4YO6W5zSUu

#SomethingBigToNumber1"
"530697556742131712","RT @taylorcaniff: DAMN! Get @JacobWhitesides new single as well!!! https://t.co/UthxUOEEak #BuyWordsOniTunes good stuff man!"
"530697556691779584","Each RETWEET sends $1 to @WholesomeWave charity! #Farm4Good by playing @Farmville2 http://t.co/RvgX80DnVr http://t.co/MpKQZMGevO"
"530697556670824448","@ShawnMendes GO GET SOMETHING BIG NOW! #SomethingBigToNumber1 http://t.co/emxVt7cSop http://t.co/arXScwt4MD x1040"
"530697556406599680","✌️
@ShawnMendes 
✌️
#SomethingBigToNumber1 
✌️

👇GO GET IT NOW!👇
http://t.co/VsgNtpHud4

❤️FOLLOW MUFFIN MAN?❤️
http://t.co/2fW4QtvRMw
+304"
"530697556268163072","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530697555475460097","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530697555358023680","China Telecom unveils Apple iPhone 6 on Weibo - ModernLifeTimes http://t.co/oF5kIu7IO6
 #apple #iPhone6"
"530697555110547456","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530697555097952256","RT @carterreynolds: Everyone go download @ShawnMendes new song Something Big! http://t.co/UzrsuRmIdi #SomethingBigToNumber1"
"530697555068612608","RT @onedirection: #NightChanges is gonna be the next single from #FOUR: http://t.co/6mXo3EyvY3 http://t.co/beeBCNbNfD"
"530697554888261633","RT @JohnLBair1: #Comment: #Why #Apple #iPhones are for the #simple-minded | The #National http://t.co/jOq0wQnx4n via @TheNationalUAE"
"530697554154246144","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530697554116497408","RT @Nashgrier: Make sure to get @ShawnMendes new single!- http://t.co/g76beP6HmF let's get it to #1 ! Congrats man! Amazing music! #Somethi…"
"530697554007449600","@ShawnMendes AMAZING SO GOOD  😍😍😍😍 in love Shawn great job so proud of you💋 @camerondallas http://t.co/Gkt9jMQ1cS #SomethingBigToNumber1 9"
"530697553952923648","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530698311729442816","LETS MAKE #SomethingBigToNumber1!!! ITS AMAZING GO BUY IT!! @ShawnMendes http://t.co/yxpbOmxUfV"
"530698311364132864","@ShawnMendes GET SHAWNS NEW SONG

http://t.co/xxlbG5iZrA

#SomethingBigToNumber1
PLZ SHAWN I WANNA MEET U SO BAD x592 http://t.co/gvprbCQ2Qh"
"530698310915735553","RT @CalvinHarris: Thank u so much to everyone buying and enjoying the album, i love reading the reactions...If u want it here it is: http:/…"
"530698310865010688","RT @MahoganyLOX: ahhhhh I'm so proud of you @ShawnMendes!!!! #SomethingBigAtMidnight http://t.co/rhzdTuKF1r http://t.co/rZNTbreAo3"
"530698310835654656","#SomethingBigToNumber1 
EVERYONE!!! http://t.co/FRZfmTdMMb 

💕💕💕💕💕
@ShawnMendes 

Please follow me I was tweeted all morning ;( 
💕💕💕💕💕
x12"
"530698310089453568","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530698309808447488","RT @AppIeOfficiel: Apple GLASS - the future is here 📱  http://t.co/d2vCOCOTqt"
"530698309778690048","#Farm4Good, RETWEET &amp; play @FarmVille2 to help raise $ for charity w/@NakedJuice http://t.co/qtbwB02jPX http://t.co/rL0zEsGUvE"
"530698309611302912","@RTEArena  New single 'Day Is Done' is out today and available from iTunes here for only 99cents; https://t.co/rRg5y6oRpF #dayisdone"
"530698308772458496","@ShawnMendes GO GET SOMETHING BIG NOW! #SomethingBigToNumber1 http://t.co/emxVt7cSop http://t.co/arXScwt4MD x1058"
